SRR13825328	SRR6324886	SRR9118109
23S_23751e8beab2	10628	8	372
23S_2245616943be	6	0	2
23S_2411124da2f7	9955	0	2197
23S_172811fb5113	4	0	18
5S_145429dcc649	4	0	30
23S_1714dc19bb94	54	0	151
23S_13125086147a	2032	0	44
23S_16066ea90b6d	78	0	312
23S_1938502868bd	1360	133	9747
16S_199307314d1a	23	681	56424
23S_131051628204	942	291	399
23S_149243e4669e	1	0	4
23S_1675bac171b6	41	2	2
23S_16152b2d56a8	22	0	2053
23S_1810ecf738bf	5479	2	3951
23S_273836b1b128	32166	0	48
23S_20572b0c5e6c	4	0	63
23S_210309de075a	7	0	1
23S_2885bc5d4f8d	132	0	2537
23S_2810c2709b27	19	0	0
23S_16251864dc1e	1	0	3336
16S_2869eccfcb6a	30530	0	1451
23S_25787a115e6f	450	498	13
23S_1647628d5afb	110	581	94
23S_2639d7d15b7e	127	0	83
23S_23522ec55546	27	0	1
23S_227643d3aa08	2	9	1405
16S_2572706c47dd	1588	0	334
23S_27500b90f49e	1537	0	19
23S_1259ea12decc	5	0	0
16S_1936badf0f03	1	0	0
23S_19257403f284	5	0	0
16S_1328885657ee	826	0	1335
23S_2119fd570e15	30	1	0
23S_2132b09bffb7	49935	7	1367
23S_2444b4264286	704	0	7006
16S_1970e41c04aa	7	1929	138742
23S_2319f393daa7	8	1	818
23S_16005ee1178b	3903	1208	62865
23S_267173a092cc	1572	0	8
23S_2150497f2780	36165	95	2856
23S_2367c40fddbb	9	0	23
23S_25442cbc2bf0	400	0	27
23S_10839f5ef070	12	0	0
23S_29619c1f26a1	4	0	1
23S_2695f149fb67	8882	0	31
23S_22970c47ee31	288	2561	425441
23S_21981beab049	41	0	2
23S_1774239682d3	3733	2	1053
23S_2820a43625ad	40	0	2
23S_2048da7811c9	259	17	0
16S_29425dd4b03d	12168	1278	125341
16S_1043203d31e8	4	0	2883
23S_2363c33ae2ef	42701	0	16049
23S_14458e38ea81	2	0	1
23S_205405a1132b	465	0	30
